From	Entry	Entry Name	Protein names	Gene Names	Organism	Length	Taxonomic lineage	Taxonomic lineage (Ids)
UniRef100_A0A0D8ZSH3	A0A0D8ZSH3	A0A0D8ZSH3_9CYAN	Agmatinase	UH38_13515	Aliterella atlantica CENA595	401	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Chroococcidiopsidales (order), Aliterellaceae (family), Aliterella (genus), Aliterella atlantica (species)	131567 (no rank), 2 (domain), 1783272 (kingdom), 1798711 (clade), 1117 (phylum), 3028117 (class), 1890505 (order), 2917811 (family), 1827277 (genus), 1827278 (species)
UniRef100_A0A0G4EJG8	A0A0G4EJG8	A0A0G4EJG8_VITBC	Agmatinase	Vbra_7616	Vitrella brassicaformis (strain CCMP3155)	405	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Alveolata (clade), Colpodellida (clade), Vitrellaceae (family), Vitrella (genus), Vitrella brassicaformis (species)	131567 (no rank), 2759 (domain), 2698737 (clade), 33630 (clade), 877183 (clade), 2605696 (family), 1169538 (genus), 1169539 (species)
UniRef100_A0A0G4G147	A0A0G4G147	A0A0G4G147_VITBC	Agmatinase	Vbra_16678	Vitrella brassicaformis (strain CCMP3155)	393	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Alveolata (clade), Colpodellida (clade), Vitrellaceae (family), Vitrella (genus), Vitrella brassicaformis (species)	131567 (no rank), 2759 (domain), 2698737 (clade), 33630 (clade), 877183 (clade), 2605696 (family), 1169538 (genus), 1169539 (species)
UniRef100_A0A0J6W345	A0A0J6W345	A0A0J6W345_9MYCO	Agmatinase	WN67_21695	Mycolicibacterium obuense	384	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Mycobacteriales (order), Mycobacteriaceae (family), Mycolicibacterium (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85007 (order), 1762 (family), 1866885 (genus)
UniRef100_A0A0J6W4U2	A0A0J6W4U2	A0A0J6W4U2_9MYCO	Proclavaminate amidinohydrolase (EC 3.5.3.22)	pah MCHLDSM_02957	Mycolicibacterium chlorophenolicum	385	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Mycobacteriales (order), Mycobacteriaceae (family), Mycolicibacterium (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85007 (order), 1762 (family), 1866885 (genus)
UniRef100_A0A0J6Z3J8	A0A0J6Z3J8	A0A0J6Z3J8_MYCCU	Proclavaminate amidinohydrolase (EC 3.5.3.22)	pah MCHUDSM44219_02763	Mycolicibacterium chubuense (Mycobacterium chubuense)	385	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Mycobacteriales (order), Mycobacteriaceae (family), Mycolicibacterium (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85007 (order), 1762 (family), 1866885 (genus)
UniRef100_A0A0M2PTN2	A0A0M2PTN2	A0A0M2PTN2_PROHO	Agmatinase	PROH_08435	Prochlorothrix hollandica PCC 9006 = CALU 1027	391	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Prochlorotrichales (order), Prochlorotrichaceae (family), Prochlorothrix (genus), Prochlorothrix hollandica (species)	131567 (no rank), 2 (domain), 1783272 (kingdom), 1798711 (clade), 1117 (phylum), 3028117 (class), 3079745 (order), 2303730 (family), 1222 (genus), 1223 (species)
UniRef100_A0A0M6XZX5	A0A0M6XZX5	A0A0M6XZX5_9HYPH	Proclavaminate amidinohydrolase (EC 3.5.3.22)	pah_1 LAL4801_00736	Roseibium aggregatum	412	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Stappiaceae (family), Roseibium (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 356 (order), 2821832 (family), 150830 (genus)
UniRef100_A0A0M6YGB3	A0A0M6YGB3	A0A0M6YGB3_9RHOB	Proclavaminate amidinohydrolase (EC 3.5.3.22)	pah JDO7802_00825	Jannaschia donghaensis	414	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Rhodobacterales (order), Roseobacteraceae (family), Jannaschia (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 204455 (order), 2854170 (family), 188905 (genus)
UniRef100_A0A0M7AS31	A0A0M7AS31	A0A0M7AS31_9HYPH	Proclavaminate amidinohydrolase (EC 3.5.3.22)	pah_2 LA5096_05357	Roseibium album	412	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Stappiaceae (family), Roseibium (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 356 (order), 2821832 (family), 150830 (genus)
UniRef100_A0A0P1FDK3	A0A0P1FDK3	A0A0P1FDK3_9RHOB	Proclavaminate amidinohydrolase (EC 3.5.3.22)	pah_1 SHM7688_01416	Shimia marina	408	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Rhodobacterales (order), Roseobacteraceae (family), Shimia (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 204455 (order), 2854170 (family), 573139 (genus)
UniRef100_A0A0P1GGZ3	A0A0P1GGZ3	A0A0P1GGZ3_9RHOB	Proclavaminate amidinohydrolase (EC 3.5.3.22)	pah_2 TRN7648_03246	Tropicibacter naphthalenivorans	425	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Rhodobacterales (order), Roseobacteraceae (family), Tropicibacter (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 204455 (order), 2854170 (family), 599653 (genus)
UniRef100_A0A0P1IT51	A0A0P1IT51	A0A0P1IT51_9RHOB	Proclavaminate amidinohydrolase (EC 3.5.3.22)	pah TA5114_02551	Cognatishimia activa	424	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Rhodobacterales (order), Paracoccaceae (family), Cognatishimia (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 204455 (order), 31989 (family), 2211635 (genus)
UniRef100_A0A0S4KUT0	A0A0S4KUT0	A0A0S4KUT0_9BACT	Putative agmatinase 2 (EC 3.5.3.11)	speB NITINOP_1173	Candidatus Nitrospira inopinata	382	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Nitrospirota (phylum), Nitrospiria (class), Nitrospirales (order), Nitrospiraceae (family), Nitrospira (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 40117 (phylum), 203693 (class), 189778 (order), 189779 (family), 1234 (genus)
UniRef100_A0A0S4LJ73	A0A0S4LJ73	A0A0S4LJ73_9BACT	Agmatinase (EC 3.5.3.11)	speB COMA1_30159	Candidatus Nitrospira nitrosa	382	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Nitrospirota (phylum), Nitrospiria (class), Nitrospirales (order), Nitrospiraceae (family), Nitrospira (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 40117 (phylum), 203693 (class), 189778 (order), 189779 (family), 1234 (genus)
UniRef100_A0A0S4LKH7	A0A0S4LKH7	A0A0S4LKH7_9BACT	Agmatinase (EC 3.5.3.11)	speB COMA2_30124	Candidatus Nitrospira nitrificans	382	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Nitrospirota (phylum), Nitrospiria (class), Nitrospirales (order), Nitrospiraceae (family), Nitrospira (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 40117 (phylum), 203693 (class), 189778 (order), 189779 (family), 1234 (genus)
UniRef100_A0A139XDF7	A0A139XDF7	A0A139XDF7_9CYAN	Agmatinase	WA1_15430	Scytonema hofmannii PCC 7110	397	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Nostocales (order), Scytonemataceae (family), Scytonema (genus), Scytonema hofmannii (species)	131567 (no rank), 2 (domain), 1783272 (kingdom), 1798711 (clade), 1117 (phylum), 3028117 (class), 1161 (order), 1182 (family), 1203 (genus), 34078 (species)
UniRef100_A0A165B107	A0A165B107	A0A165B107_9SYNE	Arginase/agmatinase/formimionoglutamate hydrolase, arginase family	FLM9_956	Candidatus Synechococcus spongiarum	393	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Synechococcales (order), Synechococcaceae (family), Synechococcus (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 1798711 (clade), 1117 (phylum), 3028117 (class), 1890424 (order), 1890426 (family), 1129 (genus)
UniRef100_A0A172TGM5	A0A172TGM5	A0A172TGM5_9BACL	Agmatinase	SY83_07920	Paenibacillus swuensis	382	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Bacillales (order), Paenibacillaceae (family), Paenibacillus (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 1239 (phylum), 91061 (class), 1385 (order), 186822 (family), 44249 (genus)
UniRef100_A0A178XQV9	A0A178XQV9	A0A178XQV9_9HYPH	Agmatinase	AU381_12610	Sinorhizobium glycinis	401	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Rhizobiaceae (family), Sinorhizobium/Ensifer group (no rank), Sinorhizobium (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 356 (order), 82115 (family), 227292 (no rank), 28105 (genus)
UniRef100_A0A1B1YQT6	A0A1B1YQT6	A0A1B1YQT6_9GAMM	Agmatinase	PG2T_02415	Immundisolibacter cernigliae	388	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Immundisolibacterales (order), Immundisolibacteraceae (family), Immundisolibacter (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 1236 (class), 1934945 (order), 1934946 (family), 1934947 (genus)
UniRef100_A0A1D8IRI4	A0A1D8IRI4	A0A1D8IRI4_9GAMM	Agmatinase	BI364_15470	Acidihalobacter yilgarnensis	398	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Chromatiales (order), Ectothiorhodospiraceae (family), Acidihalobacter (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 1236 (class), 135613 (order), 72276 (family), 1765964 (genus)
UniRef100_A0A1D8K4S7	A0A1A6C3Y3	A0A1A6C3Y3_9GAMM	Agmatinase	Thpro_021599	Acidihalobacter prosperus	396	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Chromatiales (order), Ectothiorhodospiraceae (family), Acidihalobacter (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 1236 (class), 135613 (order), 72276 (family), 1765964 (genus)
UniRef100_A0A1D8K4S7	A0A1D8K4S7	A0A1D8K4S7_9GAMM	Agmatinase	BJI67_01725	Acidihalobacter aeolianus	398	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Chromatiales (order), Ectothiorhodospiraceae (family), Acidihalobacter (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 1236 (class), 135613 (order), 72276 (family), 1765964 (genus)
UniRef100_A0A1E3GZ07	A0A1E3GZ07	A0A1E3GZ07_9HYPH	Proclavaminate amidinohydrolase (EC 3.5.3.22)	pah A6302_03541	Methylobrevis pamukkalensis	402	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Pleomorphomonadaceae (family), Methylobrevis (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 356 (order), 2843308 (family), 1775716 (genus)
UniRef100_A0A1E3SPR4	A0A1E3SPR4	A0A1E3SPR4_9MYCO	Agmatinase	BHQ21_18790	Mycobacterium sherrisii	387	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Mycobacteriales (order), Mycobacteriaceae (family), Mycobacterium (genus), Mycobacterium simiae complex (no rank)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85007 (order), 1762 (family), 1763 (genus), 2249310 (no rank)
UniRef100_A0A1E3V4V8	A0A1E3V4V8	A0A1E3V4V8_9HYPH	Agmatinase	A8M32_24185	Sinorhizobium alkalisoli	401	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Rhizobiaceae (family), Sinorhizobium/Ensifer group (no rank), Sinorhizobium (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 356 (order), 82115 (family), 227292 (no rank), 28105 (genus)
UniRef100_A0A1E7KMP7	A0A1E7KMP7	A0A1E7KMP7_9ACTN	Agmatinase	AN216_04080	Streptomyces oceani	391	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Kitasatosporales (order), Streptomycetaceae (family), Streptomyces (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85011 (order), 2062 (family), 1883 (genus)
UniRef100_A0A1G4RSI2	A0A1G4RSI2	A0A1G4RSI2_9HYPH	Agmatinase	SAMN05660859_1890	Ancylobacter rudongensis	407	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Xanthobacteraceae (family), Ancylobacter (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 356 (order), 335928 (family), 99 (genus)
UniRef100_A0A1G5PM80	A0A1G5PM80	A0A1G5PM80_9RHOB	Agmatinase	SAMN04488118_101311	Epibacterium ulvae	424	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Rhodobacterales (order), Roseobacteraceae (family), Epibacterium (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 204455 (order), 2854170 (family), 1649279 (genus)
UniRef100_A0A1G6B2W5	A0A1G6B2W5	A0A1G6B2W5_9HYPH	Agmatinase	SAMN02982931_01155	Bauldia litoralis	403	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Kaistiaceae (family), Bauldia (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 356 (order), 2831111 (family), 1145345 (genus)
UniRef100_A0A1G7S4E4	A0A1G7S4E4	A0A1G7S4E4_PSEOR	Agmatinase	SAMN05216377_109229	Pseudonocardia oroxyli	396	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Pseudonocardiales (order), Pseudonocardiaceae (family), Pseudonocardia (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85010 (order), 2070 (family), 1847 (genus)
UniRef100_A0A1G8CF54	A0A1G8CF54	A0A1G8CF54_9ACTN	Agmatinase	SAMN05421869_102281	Nonomuraea jiangxiensis	376	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2004 (family), 83681 (genus)
UniRef100_A0A1G8VS52	A0A1G8VS52	A0A1G8VS52_9RHOB	Agmatinase	SAMN04488026_102215	Aliiruegeria lutimaris	414	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Rhodobacterales (order), Roseobacteraceae (family), Aliiruegeria (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 204455 (order), 2854170 (family), 2854181 (genus)
UniRef100_A0A1G9HIV2	A0A1G9HIV2	A0A1G9HIV2_9HYPH	Agmatinase	SAMN05428953_12771	Mesorhizobium muleiense	402	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Phyllobacteriaceae (family), Mesorhizobium (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 356 (order), 69277 (family), 68287 (genus)
UniRef100_A0A1G9HIV2	A0A1R3VF68	A0A1R3VF68_9HYPH	Putative agmatinase 2 (EC 3.5.3.11)	speB BQ8794_50599	Mesorhizobium prunaredense	402	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Phyllobacteriaceae (family), Mesorhizobium (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 356 (order), 69277 (family), 68287 (genus)
UniRef100_A0A1H3BFI5	A0A1H3BFI5	A0A1H3BFI5_9RHOB	Agmatinase	SAMN05444336_1053	Albimonas donghaensis	422	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Rhodobacterales (order), Paracoccaceae (family), Albimonas (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 204455 (order), 31989 (family), 663242 (genus)
UniRef100_A0A1H3SQ66	A0A1H3SQ66	A0A1H3SQ66_9RHOB	Agmatinase	SAMN05444004_11328	Jannaschia faecimaris	414	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Rhodobacterales (order), Roseobacteraceae (family), Jannaschia (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 204455 (order), 2854170 (family), 188905 (genus)
UniRef100_A0A1H3UZ11	A0A1H3UZ11	A0A1H3UZ11_9ACTN	Agmatinase	SAMN05421684_8332	Asanoa ishikariensis	384	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Micromonosporales (order), Micromonosporaceae (family), Asanoa (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85008 (order), 28056 (family), 195964 (genus)
UniRef100_A0A1H4AHG8	A0A1H4AHG8	A0A1H4AHG8_9RHOB	Agmatinase	SAMN05444370_104219	Rubrimonas cliftonensis	418	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Rhodobacterales (order), Paracoccaceae (family), Rubrimonas (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 204455 (order), 31989 (family), 89523 (genus)
UniRef100_A0A1H6IL32	A0A1H6IL32	A0A1H6IL32_MYCRU	Agmatinase	SAMN04489835_0529	Mycolicibacterium rutilum (Mycobacterium rutilum)	383	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Mycobacteriales (order), Mycobacteriaceae (family), Mycolicibacterium (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85007 (order), 1762 (family), 1866885 (genus)
UniRef100_A0A1I0FAT8	A0A1I0FAT8	A0A1I0FAT8_9BACI	Agmatinase	SAMN05216389_11491	Oceanobacillus limi	384	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Bacillales (order), Bacillaceae (family), Oceanobacillus (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 1239 (phylum), 91061 (class), 1385 (order), 186817 (family), 182709 (genus)
UniRef100_A0A1I0X3J4	A0A1I0X3J4	A0A1I0X3J4_9RHOB	Agmatinase	SAMN05421688_1841	Poseidonocella pacifica	425	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Rhodobacterales (order), Roseobacteraceae (family), Poseidonocella (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 204455 (order), 2854170 (family), 1158296 (genus)
UniRef100_A0A1I1IU83	A0A1I1IU83	A0A1I1IU83_9RHOB	Agmatinase	SAMN04488094_104219	Tropicimonas isoalkanivorans	418	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Rhodobacterales (order), Roseobacteraceae (family), Tropicimonas (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 204455 (order), 2854170 (family), 599652 (genus)
UniRef100_A0A1I3CWH8	A0A1I3CWH8	A0A1I3CWH8_9RHOB	Agmatinase	SAMN05216258_102240	Albimonas pacifica	419	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Rhodobacterales (order), Paracoccaceae (family), Albimonas (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 204455 (order), 31989 (family), 663242 (genus)
